Internship Id,Company name,Internship location,offline / online,stipend,skill required,experience,about the job,deadline for apply,number of opening,duration,Role,Website link of company (optional)
INT-1343,SBI,Chennai (Hybrid),Hybrid,"₹14,460/month","Client Relations, Negotiation, Market Analysis, Sales",0-1 years,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-16-2025,3,6 months,Business Development,https://www.sbi.co.in
INT-1344,SBI,Chennai,Offline,"₹15,369/month","User Research, Wireframing, Figma, Prototyping, Adobe XD",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-19-2025,14,6 months,UI/UX Design,https://www.sbi.co.in
INT-1345,SBI,Mumbai (Hybrid),Hybrid,"₹14,406/month","Recruitment, Employee Relations, Training, Compliance, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-4-2025,12,2 months,HR,https://www.sbi.co.in
INT-1346,IDRBT,Hyderabad,Offline,"₹12,705/month","PPC, Google Analytics, SEO",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-2-2025,17,4 months,Digital Marketing,https://www.idrbt.ac.in
INT-1347,IDRBT,Hyderabad (Hybrid),Hybrid,"₹13,689/month","Manual Testing, Selenium, JIRA, Automation Testing",Understanding of SDLC,"Test software applications, identify bugs, write test cases, ensure product quality",9-28-2025,12,6 months,Quality Assurance,https://www.idrbt.ac.in
INT-1348,IDRBT,Hyderabad (Hybrid),Hybrid,"₹14,573/month","Recruitment, Employee Relations, HR Analytics",0-1 years,"Support recruitment processes, assist in employee onboarding, maintain HR records, organize training",10-9-2025,15,2 months,HR,https://www.idrbt.ac.in
INT-1349,IDRBT,Hyderabad,Online,"₹13,838/month","Market Analysis, Client Relations, CRM",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",11-7-2025,25,3 months,Business Development,https://www.idrbt.ac.in
INT-1350,IDRBT,Hyderabad,Offline,"₹12,886/month","Selenium, Manual Testing, Automation Testing",0-1 years,"Test software applications, identify bugs, write test cases, ensure product quality",11-12-2025,23,2 months,Quality Assurance,https://www.idrbt.ac.in
INT-1351,IDRBT,Hyderabad (Hybrid),Hybrid,"₹14,779/month","Negotiation, Client Relations, Market Analysis, CRM, Sales",Strong communication skills,"Support sales processes, conduct market research, build client relationships, assist in business strategy",10-24-2025,17,6 months,Business Development,https://www.idrbt.ac.in
INT-1352,IDRBT,Hyderabad (Hybrid),Hybrid,"₹14,806/month","Figma, Adobe XD, User Research",0-1 years,"Design user interfaces, conduct user research, create prototypes, improve user experience",10-5-2025,11,6 months,UI/UX Design,https://www.idrbt.ac.in
INT-1353,IDRBT,Hyderabad,Offline,"₹14,654/month","Google Analytics, SEO, Content Marketing, PPC, Social Media",0-1 years,"Manage digital campaigns, create content strategies, analyze marketing metrics, optimize online presence",10-21-2025,15,3 months,Digital Marketing,https://www.idrbt.ac.in
